열차번호,A2371,A2373,A2001,A2003,A3001,A2005,A1001,A2007,A2009,A2011,A3003,A1003,A2013,A3005,A2015,A3007,A2221,A2017,A3011,A1005,A2019,A3013,A2021,A3015,A2023,A2025,A1007,A3019,A2027,A3021,A2031,A3023,A2033,A1009,A3025,A2035,A2037,A3027,A2039,A1011,A2041,A3031,A2043,A3033,A2045,A3035,A1013,A2047,A2049,A2051,A3037,A2053,A1015,A2055,A2057,A3041,A2059,A2061,A1017,A3043,A2063,A3045,A2065,A2067,A2069,A1019,A2071,A2073,A3049,A2075,A1021,A3051,A2077,A3053,A2079,A3055,A2081,A1023,A2083,A2085,A2087,A3059,A1025,A2089,A2091,A2093,A2095,A2097,A1027,A3061,A2099,A2101,A2103,A3065,A1029,A2105,A2107,A3067,A2109,A2111,A1031,A3069,A2113,A2115,A2117,A2119,A1033,A3073,A2121,A3075,A2123,A3077,A2125,A1035,A3079,A2127,A2129,A2131,A3083,A1037,A2133,A3085,A2135,A2137,A2139,A1039,A2141,A3089,A2143,A2145,A3091,A2147,A1041,A3093,A2149,A2151,A3095,A2153,A3097,A1043,A2155,A2157,A3099,A2159,A2161,A2163,A1045,A2165,A2167,A2169,A2171,A2173,A1047,A2175,A2177,A2179,A2181,A3101,A1049,A2183,A2185,A2187,A2189,A1051,A2191,A2193,A3103,A2195,A2197,A2199,A3291,A3293
시발역,검암,검암,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울,서울
시발시간,05:08:00,05:26:00,05:20:00,05:40:00,05:50:30,05:59:00,06:10:00,06:14:00,06:27:00,06:39:00,06:45:00,06:50:00,06:53:00,06:59:00,07:06:00,07:10:30,07:16:00,07:19:30,07:24:30,07:30:00,07:32:00,07:38:00,07:45:00,07:50:00,07:57:00,08:07:30,08:10:00,08:16:00,08:22:00,08:27:30,08:36:00,08:40:30,08:47:00,08:50:00,08:55:30,09:02:00,09:08:30,09:14:00,09:20:00,09:30:00,09:34:00,09:41:30,09:48:00,09:53:30,09:59:30,10:05:30,10:10:00,10:13:00,10:22:30,10:31:30,10:39:00,10:45:30,10:50:00,10:59:00,11:07:00,11:13:00,11:19:00,11:26:00,11:30:00,11:33:30,11:39:00,11:45:00,11:51:00,11:59:00,12:06:30,12:10:00,12:22:00,12:31:30,12:39:00,12:45:30,12:50:00,12:53:00,12:59:00,13:05:30,13:12:00,13:19:00,13:25:30,13:30:00,13:37:00,13:49:30,13:59:00,14:05:30,14:10:00,14:12:00,14:20:00,14:28:30,14:36:30,14:45:30,14:50:00,14:53:30,14:59:30,15:07:30,15:19:30,15:26:30,15:30:00,15:34:00,15:41:30,15:48:30,15:56:00,16:06:30,16:10:00,16:14:30,16:21:30,16:29:00,16:40:00,16:47:30,16:50:00,16:54:00,17:00:30,17:07:00,17:12:00,17:18:30,17:26:30,17:30:00,17:34:30,17:41:30,17:49:30,18:00:00,18:06:30,18:10:00,18:15:00,18:22:00,18:28:30,18:36:00,18:46:30,18:50:00,18:57:00,19:03:00,19:09:00,19:16:00,19:20:00,19:26:30,19:30:00,19:34:30,19:41:30,19:47:30,19:53:00,19:59:00,20:06:00,20:10:00,20:13:30,20:22:30,20:28:30,20:35:30,20:40:00,20:46:30,20:50:00,20:56:00,21:03:30,21:11:00,21:19:00,21:26:00,21:30:00,21:35:00,21:43:00,21:51:30,21:59:00,22:06:00,22:10:00,22:14:30,22:25:00,22:36:00,22:45:30,22:50:00,22:56:00,23:05:00,23:13:00,23:21:00,23:30:30,23:40:00,23:50:00,00:00:00
종착역,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,인천공항2터미널,인천공항2터미널,인천공항2터미널,검암,검암
종착시간,05:41:00,05:57:30,06:26:30,06:46:30,06:25:00,07:07:00,07:01:30,07:20:30,07:33:30,07:47:00,07:21:00,07:41:30,07:59:30,07:33:30,08:12:30,07:45:00,08:24:00,08:27:30,08:00:30,08:22:00,08:38:30,08:12:30,08:51:30,08:24:30,09:05:00,09:15:30,09:02:30,08:50:30,09:28:30,09:02:00,09:44:00,09:15:00,09:55:00,09:41:30,09:30:00,10:08:30,10:15:00,09:48:30,10:28:00,10:21:30,10:40:30,10:16:00,10:54:30,10:28:00,11:07:30,10:41:30,11:01:30,11:19:30,11:29:00,11:38:00,11:13:30,11:53:30,11:41:30,12:05:30,12:13:30,11:47:30,12:27:00,12:34:00,12:21:30,12:08:00,12:45:30,12:19:30,12:57:30,13:07:00,13:14:30,13:01:30,13:28:30,13:38:00,13:13:30,13:53:30,13:41:30,13:27:30,14:05:30,13:40:00,14:18:30,13:53:30,14:33:30,14:21:30,14:43:30,14:56:00,15:07:00,14:41:30,15:01:30,15:18:30,15:26:30,15:35:00,15:44:30,15:53:30,15:41:30,15:28:00,16:06:00,16:14:00,16:27:30,16:02:30,16:21:30,16:40:30,16:48:00,16:23:00,17:04:00,17:14:30,17:01:30,16:49:00,17:28:00,17:35:30,17:48:00,17:55:30,17:42:30,17:28:30,18:07:00,17:41:30,18:18:30,17:53:00,18:34:30,18:21:30,18:09:00,18:48:00,18:56:00,19:08:00,18:42:30,19:01:30,19:21:30,18:56:30,19:35:00,19:44:00,19:54:30,19:41:30,20:03:30,19:37:30,20:15:30,20:24:00,19:54:30,20:34:30,20:21:30,20:09:00,20:48:00,20:54:00,20:27:30,21:07:00,20:42:00,21:01:30,21:20:00,21:29:00,21:03:00,21:43:30,21:48:00,21:54:30,21:41:30,22:02:30,22:10:00,22:17:30,22:27:00,22:34:00,22:21:30,22:41:30,22:49:30,22:58:00,23:07:00,22:42:00,23:01:30,23:21:00,23:31:30,23:44:00,23:53:30,23:41:30,00:02:30,00:11:30,23:47:30,00:27:30,00:37:00,00:46:30,00:24:30,00:34:30
서울,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,05:20:00,05:40:00,05:50:30,05:59:00,06:10:00,06:14:00,06:27:00,06:39:00,06:45:00,06:50:00,06:53:00,06:59:00,07:06:00,07:10:30,07:16:00,07:19:30,07:24:30,07:30:00,07:32:00,07:38:00,07:45:00,07:50:00,07:57:00,08:07:30,08:10:00,08:16:00,08:22:00,08:27:30,08:36:00,08:40:30,08:47:00,08:50:00,08:55:30,09:02:00,09:08:30,09:14:00,09:20:00,09:30:00,09:34:00,09:41:30,09:48:00,09:53:30,09:59:30,10:05:30,10:10:00,10:13:00,10:22:30,10:31:30,10:39:00,10:45:30,10:50:00,10:59:00,11:07:00,11:13:00,11:19:00,11:26:00,11:30:00,11:33:30,11:39:00,11:45:00,11:51:00,11:59:00,12:06:30,12:10:00,12:22:00,12:31:30,12:39:00,12:45:30,12:50:00,12:53:00,12:59:00,13:05:30,13:12:00,13:19:00,13:25:30,13:30:00,13:37:00,13:49:30,13:59:00,14:05:30,14:10:00,14:12:00,14:20:00,14:28:30,14:36:30,14:45:30,14:50:00,14:53:30,14:59:30,15:07:30,15:19:30,15:26:30,15:30:00,15:34:00,15:41:30,15:48:30,15:56:00,16:06:30,16:10:00,16:14:30,16:21:30,16:29:00,16:40:00,16:47:30,16:50:00,16:54:00,17:00:30,17:07:00,17:12:00,17:18:30,17:26:30,17:30:00,17:34:30,17:41:30,17:49:30,18:00:00,18:06:30,18:10:00,18:15:00,18:22:00,18:28:30,18:36:00,18:46:30,18:50:00,18:57:00,19:03:00,19:09:00,19:16:00,19:20:00,19:26:30,19:30:00,19:34:30,19:41:30,19:47:30,19:53:00,19:59:00,20:06:00,20:10:00,20:13:30,20:22:30,20:28:30,20:35:30,20:40:00,20:46:30,20:50:00,20:56:00,21:03:30,21:11:00,21:19:00,21:26:00,21:30:00,21:35:00,21:43:00,21:51:30,21:59:00,22:06:00,22:10:00,22:14:30,22:25:00,22:36:00,22:45:30,22:50:00,22:56:00,23:05:00,23:13:00,23:21:00,23:30:30,23:40:00,23:50:00,00:00:00
공덕,,,05:24:00,05:44:00,05:54:30,06:03:00,---,06:18:00,06:31:00,06:43:00,06:49:00,---,06:57:00,07:03:00,07:10:00,07:14:30,07:20:00,07:23:30,07:28:30,---,07:36:00,07:42:00,07:49:00,07:54:00,08:01:00,08:11:30,---,08:20:00,08:26:00,08:31:30,08:40:00,08:44:30,08:51:00,---,08:59:30,09:06:00,09:12:30,09:18:00,09:24:00,---,09:38:00,09:45:30,09:52:00,09:57:30,10:03:30,10:09:30,---,10:17:00,10:26:30,10:35:30,10:43:00,10:49:30,---,11:03:00,11:11:00,11:17:00,11:23:00,11:30:00,---,11:37:30,11:43:00,11:49:00,11:55:00,12:03:00,12:10:30,---,12:26:00,12:35:30,12:43:00,12:49:30,---,12:57:00,13:03:00,13:09:30,13:16:00,13:23:00,13:29:30,---,13:41:00,13:53:30,14:03:00,14:09:30,---,14:16:00,14:24:00,14:32:30,14:40:30,14:49:30,---,14:57:30,15:03:30,15:11:30,15:23:30,15:30:30,---,15:38:00,15:45:30,15:52:30,16:00:00,16:10:30,---,16:18:30,16:25:30,16:33:00,16:44:00,16:51:30,---,16:58:00,17:04:30,17:11:00,17:16:00,17:22:30,17:30:30,---,17:38:30,17:45:30,17:53:30,18:04:00,18:10:30,---,18:19:00,18:26:00,18:32:30,18:40:00,18:50:30,---,19:01:00,19:07:00,19:13:00,19:20:00,19:24:00,19:30:30,---,19:38:30,19:45:30,19:51:30,19:57:00,20:03:00,20:10:00,---,20:17:30,20:26:30,20:32:30,20:39:30,20:44:00,20:50:30,---,21:00:00,21:07:30,21:15:00,21:23:00,21:30:00,---,21:39:00,21:47:00,21:55:30,22:03:00,22:10:00,---,22:18:30,22:29:00,22:40:00,22:49:30,---,23:00:00,23:09:00,23:17:00,23:25:00,23:34:30,23:44:00,23:54:00,00:04:00
,,,05:24:30,05:44:30,05:55:00,06:03:30,06:13:30,06:18:30,06:31:30,06:43:30,06:49:30,06:53:30,06:57:30,07:03:30,07:10:30,07:15:00,07:20:30,07:24:00,07:29:00,07:33:30,07:36:30,07:42:30,07:49:30,07:54:30,08:01:30,08:12:00,08:14:00,08:20:30,08:26:30,08:32:00,08:40:30,08:45:00,08:51:30,08:53:30,09:00:00,09:06:30,09:13:00,09:18:30,09:24:30,09:33:30,09:38:30,09:46:00,09:52:30,09:58:00,10:04:00,10:10:00,10:13:30,10:17:30,10:27:00,10:36:00,10:43:30,10:50:00,10:53:30,11:03:30,11:11:30,11:17:30,11:23:30,11:30:30,11:33:30,11:38:00,11:43:30,11:49:30,11:55:30,12:03:30,12:11:00,12:13:30,12:26:30,12:36:00,12:43:30,12:50:00,12:53:30,12:57:30,13:03:30,13:10:00,13:16:30,13:23:30,13:30:00,13:33:30,13:41:30,13:54:00,14:03:30,14:10:00,14:13:30,14:16:30,14:24:30,14:33:00,14:41:00,14:50:00,14:53:30,14:58:00,15:04:00,15:12:00,15:24:00,15:31:00,15:33:30,15:38:30,15:46:00,15:53:00,16:00:30,16:11:00,16:13:30,16:19:00,16:26:00,16:33:30,16:44:30,16:52:00,16:53:30,16:58:30,17:05:00,17:11:30,17:16:30,17:23:00,17:31:00,17:33:30,17:39:00,17:46:00,17:54:00,18:04:30,18:11:00,18:13:30,18:19:30,18:26:30,18:33:00,18:40:30,18:51:00,18:53:30,19:01:30,19:07:30,19:13:30,19:20:30,19:24:30,19:31:00,19:33:30,19:39:00,19:46:00,19:52:00,19:57:30,20:03:30,20:10:30,20:13:30,20:18:00,20:27:00,20:33:00,20:40:00,20:44:30,20:51:00,20:53:30,21:00:30,21:08:00,21:15:30,21:23:30,21:30:30,21:33:30,21:39:30,21:47:30,21:56:00,22:03:30,22:10:30,22:13:30,22:19:00,22:29:30,22:40:30,22:50:00,22:53:30,23:00:30,23:09:30,23:17:30,23:25:30,23:35:00,23:44:30,23:54:30,00:04:30
홍대입구,,,05:27:30,05:47:30,05:58:00,06:06:30,---,06:21:30,06:34:30,06:46:30,06:52:30,---,07:00:30,07:06:30,07:13:30,07:18:00,07:23:30,07:27:00,07:32:00,---,07:39:30,07:45:30,07:52:30,07:57:30,08:04:30,08:15:00,---,08:23:30,08:29:30,08:35:00,08:43:30,08:48:00,08:54:30,---,09:03:00,09:09:30,09:16:00,09:21:30,09:27:30,---,09:41:30,09:49:00,09:55:30,10:01:00,10:07:00,10:13:00,---,10:20:30,10:30:00,10:39:00,10:46:30,10:53:00,---,11:06:30,11:14:30,11:20:30,11:26:30,11:33:30,---,11:41:00,11:46:30,11:52:30,11:58:30,12:06:30,12:14:00,---,12:29:30,12:39:00,12:46:30,12:53:00,---,13:00:30,13:06:30,13:13:00,13:19:30,13:26:30,13:33:00,---,13:44:30,13:57:00,14:06:30,14:13:00,---,14:19:30,14:27:30,14:36:00,14:44:00,14:53:00,---,15:01:00,15:07:00,15:15:00,15:27:00,15:34:00,---,15:41:30,15:49:00,15:56:00,16:03:30,16:14:00,---,16:22:00,16:29:00,16:36:30,16:47:30,16:55:00,---,17:01:30,17:08:00,17:14:30,17:19:30,17:26:00,17:34:00,---,17:42:00,17:49:00,17:57:00,18:07:30,18:14:00,---,18:22:30,18:29:30,18:36:00,18:43:30,18:54:00,---,19:04:30,19:10:30,19:16:30,19:23:30,19:27:30,19:34:00,---,19:42:00,19:49:00,19:55:00,20:00:30,20:06:30,20:13:30,---,20:21:00,20:30:00,20:36:00,20:43:00,20:47:30,20:54:00,---,21:03:30,21:11:00,21:18:30,21:26:30,21:33:30,---,21:42:30,21:50:30,21:59:00,22:06:30,22:13:30,---,22:22:00,22:32:30,22:43:30,22:53:00,---,23:03:30,23:12:30,23:20:30,23:28:30,23:38:00,23:47:30,23:57:30,00:07:30
,,,05:28:00,05:48:00,05:58:30,06:07:00,06:15:40,06:22:00,06:35:00,06:47:00,06:53:00,06:55:40,07:01:00,07:07:00,07:14:00,07:18:30,07:24:00,07:27:30,07:32:30,07:35:40,07:40:00,07:46:00,07:53:00,07:58:00,08:05:00,08:15:30,08:16:40,08:24:00,08:30:00,08:35:30,08:44:00,08:48:30,08:55:00,08:56:10,09:03:30,09:10:00,09:16:30,09:22:00,09:28:00,09:35:40,09:42:00,09:49:30,09:56:00,10:01:30,10:07:30,10:13:30,10:15:40,10:21:00,10:30:30,10:39:30,10:47:00,10:53:30,10:55:40,11:07:00,11:15:00,11:21:00,11:27:00,11:34:00,11:35:40,11:41:30,11:47:00,11:53:00,11:59:00,12:07:00,12:14:30,12:15:40,12:30:00,12:39:30,12:47:00,12:53:30,12:55:40,13:01:00,13:07:00,13:13:30,13:20:00,13:27:00,13:33:30,13:35:40,13:45:00,13:57:30,14:07:00,14:13:30,14:15:40,14:20:00,14:28:00,14:36:30,14:44:30,14:53:30,14:55:40,15:01:30,15:07:30,15:15:30,15:27:30,15:34:30,15:35:40,15:42:00,15:49:30,15:56:30,16:04:00,16:14:30,16:15:40,16:22:30,16:29:30,16:37:00,16:48:00,16:55:30,16:56:10,17:02:00,17:08:30,17:15:00,17:20:00,17:26:30,17:34:30,17:35:40,17:42:30,17:49:30,17:57:30,18:08:00,18:14:30,18:15:40,18:23:00,18:30:00,18:36:30,18:44:00,18:54:30,18:55:40,19:05:00,19:11:00,19:17:00,19:24:00,19:28:00,19:34:30,19:35:40,19:42:30,19:49:30,19:55:30,20:01:00,20:07:00,20:14:00,20:15:40,20:21:30,20:30:30,20:36:30,20:43:30,20:48:00,20:54:30,20:55:40,21:04:00,21:11:30,21:19:00,21:27:00,21:34:00,21:35:40,21:43:00,21:51:00,21:59:30,22:07:00,22:14:00,22:15:40,22:22:30,22:33:00,22:44:00,22:53:30,22:55:40,23:04:00,23:13:00,23:21:00,23:29:00,23:38:30,23:48:00,23:58:00,00:08:00
